Match,Start Time,League,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,win_confidence,bet_home_team,actual_outcome,Result,Won
Alkmaar vs Utrecht,2023-01-29 04:00:00,Dutch League,-0.75,1.88,0.75,1.93,95.94,1,0,5-5,-1.0
PSV vs Go Ahead Eagles,2023-01-28 23:30:00,Dutch League,-2.0,2.0,2.0,1.8,96.25,1,1,2-0,1.0
Troyes vs Lens,2023-01-29 00:00:00,French League,1.0,1.77,-1.0,2.07,95.77,0,0,1-1,1.0699999999999998
Leverkusen vs Bochum,2023-01-26 03:30:00,German League,-1.25,1.93,1.25,1.88,96.19,1,1,2-0,0.9299999999999999
